scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
clean,0.1,DR_CF,beta2,500,0.07649085172580314,0.25279894036708517,0.22610255637976168,0.2181628609521236,0.894,0.013766916866168691
clean,0.1,DR_CF,beta3,500,-0.05312143033928629,0.20494068104902322,0.1850406349520849,0.17712317848957285,0.918,0.012269963325128561
clean,0.1,PR_MLE,alpha0,500,0.0011918059303398713,0.12701410639021476,0.12384575062364316,0.1240450142222613,0.972,0.0073778045514909145
clean,0.1,PR_MLE,alpha1,500,0.010553918232199144,0.11284300113752736,0.10990903019415708,0.10974928302145895,0.942,0.010453324829928518
clean,0.1,PR_MLE,alpha2,500,-0.006450572789457636,0.09572097624388717,0.09056844812577618,0.0904294031123685,0.946,0.010107818755794947
clean,0.1,PR_MLE,alpha3,500,0.0026652057241194856,0.09083976198585722,0.08938961966140017,0.08897194327859385,0.946,0.010107818755794947
clean,0.1,PR_MLE,beta0,500,0.012721614057364643,0.21691389221521207,0.2100950624653722,0.2086581395583211,0.95,0.00974679434480897
clean,0.1,PR_MLE,beta1,500,0.002052845794516859,0.1317738038465162,0.13005893426171622,0.13013881420236922,0.936,0.01094568408095172
clean,0.1,PR_MLE,beta2,500,0.014467308357478005,0.14551716825835626,0.14625566694213418,0.14526100890536642,0.956,0.009172131704244116
clean,0.1,PR_MLE,beta3,500,-0.012572572915313763,0.12233113030635695,0.12337745650621999,0.12293418718088531,0.952,0.009559916317625384
clean,0.2,DR_CF,alpha0,500,-0.01478011617459233,0.11481689245379821,0.1110668648548225,0.10787080034098201,0.924,0.01185107590052481
clean,0.2,DR_CF,alpha1,500,0.021704778348742477,0.14645509650134356,0.13064871092430544,0.12168578687324755,0.928,0.0115599307956406
clean,0.2,DR_CF,alpha2,500,-0.010666814043094964,0.10819875966750535,0.10016597215736642,0.0949002645492686,0.938,0.010784804124322337
clean,0.2,DR_CF,alpha3,500,0.006488613494563511,0.09292855725272377,0.09816230073208997,0.09484672552636911,0.964,0.008331146379700699
clean,0.2,DR_CF,beta0,500,0.05322569265759617,0.22913339185984197,0.2071943524214161,0.2013017842729111,0.92,0.012132600710482479
clean,0.2,DR_CF,beta1,500,-0.011944449833760057,0.15652465778365027,0.14204589557782482,0.13755513608556952,0.92,0.012132600710482479
clean,0.2,DR_CF,beta2,500,0.04813146255794553,0.1738694722615195,0.16348629266725168,0.15783594317735625,0.936,0.01094568408095172
clean,0.2,DR_CF,beta3,500,-0.03060294143941574,0.1459848713644745,0.13529748810789355,0.13135365480686378,0.926,0.011706750189527404
clean,0.2,PR_MLE,alpha0,500,-0.005847728206564902,0.09146648934921822,0.09330718101546531,0.09339648049615305,0.956,0.009172131704244116
clean,0.2,PR_MLE,alpha1,500,0.008095804159341422,0.09228083644447113,0.09422206778420707,0.0940657364403666,0.956,0.009172131704244116
clean,0.2,PR_MLE,alpha2,500,-0.004995809975973,0.0807401226652666,0.07764064891503301,0.07744861014326901,0.938,0.010784804124322337
clean,0.2,PR_MLE,alpha3,500,-0.0005067741670252233,0.0717761437463189,0.07589995897605205,0.07562160282552645,0.958,0.00897061870775924
clean,0.2,PR_MLE,beta0,500,0.017057955283882542,0.17328206547008973,0.16771027043906667,0.1666123220277112,0.946,0.010107818755794947
clean,0.2,PR_MLE,beta1,500,0.0032774896309561512,0.11689455821778127,0.11488044607588069,0.1144550866721363,0.962,0.008550555537507495
clean,0.2,PR_MLE,beta2,500,0.01901036379064668,0.1295461608519693,0.12997193371076798,0.12940192850566057,0.954,0.009368457717255283
clean,0.2,PR_MLE,beta3,500,-0.012042354634924155,0.10803995234443693,0.10981934320863548,0.10927152493493289,0.962,0.008550555537507495
informative_H,0.01,DR_CF,alpha0,398,0.034774464317951656,1.2491226477814874,0.6324060504638089,0.4561269123122471,0.8140703517587939,0.01950130868860111
