experiment,scenario,n,rho,q_target,method,n_attempt,n_success,failure_rate,param_rmse_mean,param_rmse_mcse,coverage_mean_mean,coverage_mean_mcse,pred_rmse_mean,rho_realized_mean,q_realized_mean,n_rev_mean,n_rev1_mean,n_rev0_mean,ess_mean,ess1_mean,ess0_mean,min_eig_or_sing_mean
A,informative_H,2500,0.1,,DR_CF,500,497,0.006,0.2452775229735606,0.0078522702995749,0.908953722334004,0.0063308622915192,0.0298957247336513,0.0998031532783674,0.8112170008777683,205.31991951710265,166.46680080482898,38.85311871227364,24.2733828045062,51.08429396925641,14.63212707828165,
A,informative_H,2500,0.1,,PR_MLE,500,500,0.0,0.6461579091348938,0.0042125542297196,0.26225,0.0055066342753159,0.0228224719477525,0.0998044441644958,0.8111864795113085,205.326,166.466,38.86,,,,
A,informative_H,2500,0.1,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0998044441644958,0.8111864795113085,205.326,166.466,38.86,,,,
A,informative_H,2500,0.2,,DR_CF,500,500,0.0,0.1326052729788082,0.0027783531370264,0.921,0.005708166634977,0.0197484523770984,0.1994446602264806,0.6961245107240182,410.318,285.562,124.756,46.19769844171967,146.9209308535138,27.591799735347188,
A,informative_H,2500,0.2,,PR_MLE,500,500,0.0,0.563363008425631,0.0033527767638532,0.2465,0.0051869363421228,0.0233331017345042,0.1994446602264806,0.6961245107240182,410.318,285.562,124.756,,,,
A,informative_H,2500,0.2,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.1994446602264806,0.6961245107240182,410.318,285.562,124.756,,,,
B,nhanes_like,4000,0.8,0.02,DR_CF,500,500,0.0,0.1539349739446836,0.0032987818140874,0.94175,0.0041152454958339,0.0128456753374351,0.799489874362932,0.0200735700001236,2820.18,56.612,2763.568,2819.351382036679,56.59426109268735,2762.7694060636386,
B,nhanes_like,4000,0.8,0.02,PR_MLE,500,500,0.0,0.1531927292973974,0.003254340281639,0.94375,0.0041706310465747,0.0128160553345356,0.799489874362932,0.0200735700001236,2820.18,56.612,2763.568,,,,
B,nhanes_like,4000,0.8,0.04,DR_CF,500,500,0.0,0.1136093877202127,0.0020469013132607,0.94475,0.0040298703092554,0.012392991776852,0.7999136511308155,0.0398348799207659,2820.838,112.368,2708.47,2820.008153209771,112.33520501948324,2707.6934913783325,
B,nhanes_like,4000,0.8,0.04,PR_MLE,500,500,0.0,0.1131859351787919,0.0020623453944029,0.9465,0.0039915366376195,0.0123742462773161,0.7999136511308155,0.0398348799207659,2820.838,112.368,2708.47,,,,
B,nhanes_like,4000,0.9,0.02,DR_CF,500,500,0.0,0.1446545232207552,0.002984214342314,0.945,0.0038865422190993,0.0126618996949638,0.8996798538060221,0.0200561568896143,3173.606,63.656,3109.95,3173.20483978066,63.64747565488704,3109.5633462055976,
B,nhanes_like,4000,0.9,0.02,PR_MLE,500,500,0.0,0.1444670501802772,0.0029694231783346,0.946,0.003930508592484,0.0126532232692056,0.8996798538060221,0.0200561568896143,3173.606,63.656,3109.95,,,,
B,nhanes_like,4000,0.9,0.04,DR_CF,500,500,0.0,0.1090417243833432,0.001997508959441,0.94525,0.0039495027717788,0.0122876088494484,0.8997807181512824,0.0397676249403431,3173.024,126.186,3046.838,3172.627546373445,126.16997035056472,3046.467756234681,
B,nhanes_like,4000,0.9,0.04,PR_MLE,500,500,0.0,0.108928227093407,0.0020005634344506,0.94825,0.0038550093637225,0.012281135214551,0.8997807181512824,0.0397676249403431,3173.024,126.186,3046.838,,,,
B,nhanes_like,4000,0.95,0.02,DR_CF,500,500,0.0,0.1436484899251965,0.0030074733125048,0.94625,0.0041465362080958,0.0126034698746824,0.9499570793329896,0.0200112658584287,3350.948,67.06,3283.888,3350.7422368999737,67.05550445740856,3283.6900883200924,
